Covered Entity Name,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
Manhattan Retirement Foundation d/b/a Meadowlark Hills,KS,Healthcare Provider,14442,2026-02-26,Hacking/IT Incident,Network Server,No,
Commonwealth Care Alliance,MA,Health Plan,634,2026-02-25,Unauthorized Access/Disclosure,Paper/Films,No,
Weill Cornell Medicine,NY,Healthcare Provider,516,2026-02-23,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Easterseals Northeast Indiana,IN,Healthcare Provider,3158,2026-02-16,Hacking/IT Incident,Network Server,No,
44North,MI,Business Associate,2158,2026-02-16,Hacking/IT Incident,Desktop Computer,Yes,
"Wee Care Pediatrics, LLC",UT,Healthcare Provider,2127,2026-02-14,Hacking/IT Incident,Network Server,No,
National Association on Drug Abuse Problems,NY,Healthcare Provider,90000,2026-02-13,Hacking/IT Incident,Network Server,No,
VPS Medical PLLC,PA,Healthcare Provider,4600,2026-02-13,Hacking/IT Incident,Network Server,No,
Academic Urology & Urogynecology of Arizona,AZ,Healthcare Provider,73281,2026-02-13,Hacking/IT Incident,Network Server,No,
Cedar Valley Services ,MN,Healthcare Provider,501,2026-02-13,Hacking/IT Incident,Network Server,No,
Resource Corporation of America,TX,Business Associate,501,2026-02-13,Hacking/IT Incident,Network Server,Yes,
"Alexes Hazen MD, PLLC",NY,Healthcare Provider,500,2026-02-12,Hacking/IT Incident,"Email, Network Server",No,
University Spine Center,NJ,Healthcare Provider,582,2026-02-12,Hacking/IT Incident,"Network Server, Other",Yes,
"BlueCross BlueShield of Tennessee, Inc.",TN,Business Associate,1670,2026-02-11,Hacking/IT Incident,Network Server,Yes,
"First Choice Community Home Care, Inc.",TX,Healthcare Provider,725,2026-02-11,Hacking/IT Incident,Network Server,Yes,
"Five Star Home Health, Inc.",OK,Healthcare Provider,1575,2026-02-10,Hacking/IT Incident,Network Server,Yes,
Houston Health Department,TX,Healthcare Provider,7445,2026-02-10,Hacking/IT Incident,Network Server,Yes,
"ApolloMD Business Services, LLC",GA,Business Associate,626540,2026-02-10,Hacking/IT Incident,Network Server,Yes,
Counseling Center of Wayne & Holmes Counties ,OH,Healthcare Provider,83354,2026-02-09,Hacking/IT Incident,Network Server,No,
Wendy Foster OD,KS,Healthcare Provider,20000,2026-02-09,Hacking/IT Incident,Network Server,No,
Adapt Integrated Health Care,OR,Healthcare Provider,2908,2026-02-09,Hacking/IT Incident,Network Server,Yes,
Carolina Foot & Ankle Associates,NC,Healthcare Provider,501,2026-02-09,Hacking/IT Incident,Network Server,No,
EDGAR A MARTORELL MD LLC,FL,Healthcare Provider,1107,2026-02-06,Hacking/IT Incident,Network Server,Yes,
Marin Cancer Care,CA,Healthcare Provider,501,2026-02-06,Hacking/IT Incident,Network Server,No,
TriZetto Provider Solutions,MO,Business Associate,3433965,2026-02-06,Hacking/IT Incident,Network Server,Yes,
"Apex Spine & Neurosurgery, LLC",GA,Healthcare Provider,2500,2026-02-06,Hacking/IT Incident,Network Server,No,
Triad Radiology Associates,NC,Healthcare Provider,11011,2026-02-06,Hacking/IT Incident,Email,No,
Cottage Hospital,NH,Healthcare Provider,1005,2026-02-06,Hacking/IT Incident,Network Server,No,
WIRX Pharmacy,PA,Healthcare Provider,20047,2026-02-05,Hacking/IT Incident,Network Server,No,
"Personalis, Inc.",CA,Healthcare Provider,650,2026-02-04,Hacking/IT Incident,Email,No,
Issaqueena Pediatric Dentistry PA,SC,Healthcare Provider,501,2026-02-04,Hacking/IT Incident,Network Server,No,
"EyeCare Partners, LLC, including The Ophthalmology Group, Ophthalmology Consultants, and Ophthalmology Associates.",MO,Healthcare Provider,17110,2026-02-03,Hacking/IT Incident,Email,No,
"Mindoula Health, Inc. ",MD,Business Associate,626,2026-02-02,Hacking/IT Incident,Email,Yes,
Pafford Medical Services,AR,Healthcare Provider,1000,2026-02-02,Hacking/IT Incident,Network Server,No,
"BAYADA Home Health Care, Inc.",NJ,Healthcare Provider,9526,2026-01-30,Hacking/IT Incident,Network Server,Yes,
Health and Hospital Corporation of Marion County,IN,Healthcare Provider,792,2026-01-30,Unauthorized Access/Disclosure,"Email, Laptop",No,
"Wakefield & Associates, LLC",TN,Business Associate,31751,2026-01-30,Hacking/IT Incident,Network Server,Yes,
Lincoln National Corporation d/b/a/ Lincoln Financial,IN,Health Plan,998,2026-01-30,Unauthorized Access/Disclosure,Paper/Films,No,
Clinic Service Corporation,CO,Business Associate,82331,2026-01-28,Hacking/IT Incident,Network Server,Yes,
WindRose Health Network,IN,Healthcare Provider,691,2026-01-27,Hacking/IT Incident,Network Server,No,
"Pecan Tree Dental, PLLC",TX,Healthcare Provider,13300,2026-01-26,Hacking/IT Incident,Network Server,No,
Jefferson-Blount-St. Clair Mental Health Authority,AL,Healthcare Provider,30434,2026-01-23,Hacking/IT Incident,Network Server,No,
"Precipio, Inc. ",CT,Healthcare Provider,501,2026-01-23,Hacking/IT Incident,Network Server,No,
"True RCM, a Rapid Care Transcription, Inc., Company",MD,Business Associate,1247,2026-01-20,Hacking/IT Incident,Desktop Computer,Yes,
Middlesex Sheriff's Office,MA,Healthcare Provider,501,2026-01-20,Hacking/IT Incident,Network Server,No,
AdventHealth Daytona Beach ,FL,Healthcare Provider,821,2026-01-20,Loss,Paper/Films,No,
Benton County Health,OR,Healthcare Provider,1476,2026-01-16,Hacking/IT Incident,Network Server,Yes,
Central Texas MHMR Center dba Center for Life Resource ,TX,Healthcare Provider,501,2026-01-16,Hacking/IT Incident,Network Server,No,
Minnesota Department of Human Services,MN,Health Plan,303965,2026-01-16,Unauthorized Access/Disclosure,Network Server,Yes,
Superior Care Plus LLC d/b/a Supportive Home Health LLC,OH,Healthcare Provider,1415,2026-01-16,Hacking/IT Incident,Email,No,
Administrators of the Tulane Educational Fund d/b/a Tulane University Medical Group,LA,Healthcare Provider,6556,2026-01-15,Hacking/IT Incident,Email,No,
360 Dental PC,PA,Healthcare Provider,11273,2026-01-15,Hacking/IT Incident,Network Server,No,
"Southern Immediate Care, LLC",AL,Healthcare Provider,7447,2026-01-15,Hacking/IT Incident,Email,No,
Florence County Commission on Alcohol & Drug Abuse – dba Circle Park Behavioral Health Services (“Circle Park”),SC,Healthcare Provider,7020,2026-01-14,Hacking/IT Incident,Email,No,
"TMG Health, Inc.",TX,Business Associate,2076,2026-01-13,Unauthorized Access/Disclosure,Network Server,Yes,
"FullBeauty Brands, Inc. Associate Benefits Plan",NY,Health Plan,4725,2026-01-13,Hacking/IT Incident,Network Server,No,
Avosina Healthcare Solutions,VA,Business Associate,44425,2026-01-10,Hacking/IT Incident,Network Server,Yes,
Foundation Health Partners,AK,Healthcare Provider,523,2026-01-09,Unauthorized Access/Disclosure,Paper/Films,No,
Illinois Department of Human Services,IL,Health Plan,705017,2026-01-09,Unauthorized Access/Disclosure,Network Server,No,
"The Center for Neuropsychology and Learning, PC ",MI,Healthcare Provider,3722,2026-01-09,Hacking/IT Incident,Network Server,No,
Central Ozarks Medical Center,MO,Healthcare Provider,11818,2026-01-09,Hacking/IT Incident,Network Server,No,
Devereux Foundation,PA,Healthcare Provider,501,2026-01-08,Hacking/IT Incident,Network Server,No,
"ABKSW PREFERRED HEALTH PARTNERS, PLLC d/b/a NORTH TEXAS PREFERRED HEALTH PARTNERS",TX,Healthcare Provider,2074,2026-01-08,Hacking/IT Incident,Network Server,Yes,
Methodist Homes of Alabama and Northwest Florida,AL,Healthcare Provider,1406,2026-01-06,Hacking/IT Incident,Email,No,
Pit River Health Service Inc.,CA,Healthcare Provider,1800,2026-01-06,Hacking/IT Incident,Network Server,No,
"Mid Michigan Medical Billing Service, Inc.",MI,Business Associate,28185,2026-01-05,Hacking/IT Incident,Network Server,Yes,
Advanced Healthcare Professionals,TX,Healthcare Provider,800,2025-12-31,Hacking/IT Incident,Network Server,No,
Andover Eye Associates,MA,Healthcare Provider,1638,2025-12-31,Hacking/IT Incident,Email,No,
"Steel Encounters, Inc.",UT,Healthcare Provider,959,2025-12-31,Hacking/IT Incident,Network Server,No,
Exact Sciences Laboratories LLC ,WI,Healthcare Provider,2658,2025-12-29,Unauthorized Access/Disclosure,Paper/Films,No,
"Associated Radiologists of the Finger Lakes, P.C.",NY,Business Associate,501,2025-12-29,Hacking/IT Incident,Network Server,Yes,
"Docs Medical Group, Inc. dba Pulse Urgent Care",CA,Healthcare Provider,4035,2025-12-28,Hacking/IT Incident,Network Server,No,
CareOregon,OR,Health Plan,5473,2025-12-26,Unauthorized Access/Disclosure,Network Server,No,
"BlueCross BlueShield of Tennessee, Inc. ",TN,Business Associate,780,2025-12-26,Unauthorized Access/Disclosure,Email,Yes,
Glendale Obstetrics & Gynecology PCA,AZ,Healthcare Provider,501,2025-12-24,Hacking/IT Incident,Network Server,No,
AllerVie Health ,TX,Healthcare Provider,80521,2025-12-23,Hacking/IT Incident,Network Server,No,
Artemis Healthcare Inc.,TN,Healthcare Provider,45867,2025-12-23,Hacking/IT Incident,Network Server,No,
York Hospital,ME,Healthcare Provider,1259,2025-12-23,Unauthorized Access/Disclosure,Paper/Films,No,
Riverland Community Health,MN,Healthcare Provider,940,2025-12-23,Unauthorized Access/Disclosure,Network Server,Yes,
HAP (Health Alliance Plan),MI,Health Plan,1059,2025-12-22,Hacking/IT Incident,Email,No,
TapestryHealth,CT,Healthcare Provider,6494,2025-12-22,Unauthorized Access/Disclosure,Other,No,
Chicago Cosmetic Surgery and Dermatology,IL,Healthcare Provider,700,2025-12-22,Hacking/IT Incident,Network Server,No,
